y,depth_px,od_625,od_525,od_465
386,0,,,-0.0000
387,1,,-0.0008,-0.0000
388,2,,-0.0006,0.0000
389,3,,-0.0005,0.0000
390,4,,-0.0004,0.0000
391,5,,-0.0004,0.0000
392,6,,-0.0003,0.0000
393,7,,-0.0003,0.0000
394,8,,-0.0002,0.0000
395,9,,-0.0002,0.0000
396,10,,0.0001,0.0000
397,11,,0.0003,0.0000
398,12,,0.0005,0.0000
399,13,,0.0007,0.0000
400,14,,0.0009,0.0000
401,15,,0.0011,0.0000
402,16,,0.0013,0.0000
403,17,,0.0016,0.0000
404,18,,0.0018,0.0000
405,19,,0.0018,0.0000
406,20,,0.0018,0.0000
407,21,,0.0018,0.0000
408,22,,0.0018,0.0000
409,23,,0.0018,0.0000
410,24,,0.0018,0.0000
411,25,,0.0018,0.0000
412,26,-0.0011,0.0022,0.0000
413,27,-0.0010,0.0027,0.0000
414,28,-0.0009,0.0031,0.0000
415,29,-0.0007,0.0035,0.0000
416,30,-0.0006,0.0040,0.0000
417,31,-0.0005,0.0044,0.0000
418,32,-0.0004,0.0049,0.0000
419,33,-0.0003,0.0053,0.0000
420,34,0.0001,0.0058,0.0000
421,35,0.0003,0.0058,0.0000
422,36,0.0005,0.0058,0.0000
423,37,0.0008,0.0058,0.0000
424,38,0.0010,0.0058,0.0000
425,39,0.0013,0.0058,0.0000
426,40,0.0015,0.0058,0.0000
427,41,0.0018,0.0058,0.0000
428,42,0.0028,0.0067,0.0000
429,43,0.0036,0.0075,0.0000
430,44,0.0044,0.0084,0.0000
431,45,0.0053,0.0093,0.0000
432,46,0.0061,0.0101,0.0000
433,47,0.0069,0.0110,0.0000
434,48,0.0077,0.0119,0.0000
435,49,0.0086,0.0128,0.0000
436,50,0.0097,0.0136,0.0000
437,51,0.0100,0.0136,0.0000
438,52,0.0103,0.0136,0.0000
439,53,0.0106,0.0136,0.0000
440,54,0.0109,0.0136,0.0000
441,55,0.0112,0.0136,0.0000
442,56,0.0115,0.0136,0.0000
443,57,0.0118,0.0136,0.0000
444,58,0.0127,0.0139,0.0000
445,59,0.0132,0.0142,0.0000
446,60,0.0137,0.0144,0.0000
447,61,0.0143,0.0147,0.0000
448,62,0.0148,0.0150,0.0000
449,63,0.0154,0.0152,0.0000
450,64,0.0159,0.0155,0.0000
451,65,0.0165,0.0158,0.0000
452,66,0.0177,0.0160,0.0000
453,67,0.0183,0.0160,0.0000
454,68,0.0189,0.0160,0.0000
455,69,0.0195,0.0160,0.0000
456,70,0.0202,0.0160,0.0000
457,71,0.0208,0.0160,0.0000
458,72,0.0214,0.0160,0.0000
459,73,0.0221,0.0164,0.0000
460,74,0.0232,0.0176,0.0002
461,75,0.0235,0.0192,0.0003
462,76,0.0239,0.0207,0.0004
463,77,0.0247,0.0221,0.0004
464,78,0.0257,0.0233,0.0004
465,79,0.0271,0.0246,0.0004
466,80,0.0286,0.0261,0.0004
467,81,0.0301,0.0280,0.0004
468,82,0.0322,0.0301,0.0004
469,83,0.0344,0.0317,0.0002
470,84,0.0373,0.0337,0.0003
471,85,0.0421,0.0373,0.0020
472,86,0.0498,0.0432,0.0054
473,87,0.0627,0.0520,0.0108
474,88,0.0844,0.0641,0.0213
475,89,0.1230,0.0809,0.0401
476,90,0.1787,0.1058,0.0647
477,91,0.2456,0.1349,0.0928
478,92,0.3247,0.1669,0.1243
479,93,0.4208,0.2014,0.1576
480,94,0.5393,0.2377,0.1904
481,95,0.6894,0.2741,0.2234
482,96,0.8842,0.3091,0.2587
483,97,1.1328,0.3420,0.2908
484,98,1.3505,0.3710,0.3160
485,99,1.4389,0.3896,0.3362
486,100,1.4775,0.4061,0.3578
487,101,1.5032,0.4241,0.3822
488,102,1.5226,0.4431,0.4117
489,103,1.5317,0.4637,0.4489
490,104,1.5381,0.4866,0.4935
491,105,1.5419,0.5124,0.5411
492,106,1.5427,0.5430,0.5923
493,107,1.5427,0.5732,0.6412
494,108,1.5426,0.6026,0.6933
495,109,1.5439,0.6300,0.7458
496,110,1.5450,0.6559,0.7989
497,111,1.5453,0.6815,0.8536
498,112,1.5454,0.7063,0.9085
499,113,1.5435,0.7292,0.9615
500,114,1.5410,0.7528,1.0140
501,115,1.5406,0.7714,1.0628
502,116,1.5403,0.7904,1.1098
503,117,1.5402,0.8093,1.1540
504,118,1.5402,0.8276,1.1956
505,119,1.5406,0.8453,1.2339
506,120,1.5411,0.8623,1.2680
507,121,1.5418,0.8784,1.2974
508,122,1.5452,0.8968,1.3268
509,123,1.5508,0.9121,1.3519
510,124,1.5556,0.9290,1.3756
511,125,1.5630,0.9454,1.3988
512,126,1.5757,0.9620,1.4205
513,127,1.5912,0.9780,1.4398
514,128,1.6056,0.9955,1.4584
515,129,1.6224,1.0116,1.4762
516,130,1.6430,1.0292,1.4950
517,131,1.6615,1.0435,1.5081
518,132,1.6777,1.0606,1.5217
519,133,1.6990,1.0768,1.5364
520,134,1.7228,1.0945,1.5499
521,135,1.7431,1.1111,1.5643
522,136,1.7603,1.1281,1.5777
523,137,1.7808,1.1418,1.5893
524,138,1.7988,1.1588,1.6048
525,139,1.8150,1.1749,1.6179
526,140,1.8299,1.1909,1.6323
527,141,1.8494,1.2053,1.6468
528,142,1.8714,1.2212,1.6601
529,143,1.8898,1.2360,1.6756
530,144,1.9030,1.2496,1.6893
531,145,1.9195,1.2634,1.7040
532,146,1.9374,1.2777,1.7227
533,147,1.9558,1.2897,1.7368
534,148,1.9705,1.3002,1.7518
535,149,1.9907,1.3124,1.7673
536,150,2.0085,1.3258,1.7822
537,151,2.0224,1.3376,1.7987
538,152,2.0310,1.3480,1.8134
539,153,2.0405,1.3600,1.8295
540,154,2.0556,1.3750,1.8475
541,155,2.0677,1.3897,1.8619
542,156,2.0781,1.4033,1.8758
543,157,2.0948,1.4189,1.8899
544,158,2.1085,1.4348,1.9025
545,159,2.1253,1.4496,1.9159
546,160,2.1361,1.4638,1.9278
547,161,2.1480,1.4793,1.9398
548,162,2.1649,1.4966,1.9553
549,163,2.1682,1.5091,1.9663
550,164,2.1712,1.5218,1.9797
551,165,2.1836,1.5367,1.9959
552,166,2.1910,1.5512,2.0104
553,167,2.2030,1.5658,2.0268
554,168,2.2060,1.5788,2.0391
555,169,2.2099,1.5917,2.0521
556,170,2.2235,1.6076,2.0697
557,171,2.2332,1.6216,2.0819
558,172,2.2437,1.6353,2.0954
559,173,2.2616,1.6501,2.1078
560,174,2.2737,1.6661,2.1174
561,175,2.2921,1.6829,2.1289
562,176,2.2994,1.6978,2.1385
563,177,2.3095,1.7148,2.1501
564,178,2.3227,1.7341,2.1660
565,179,2.3248,1.7499,2.1766
566,180,2.3243,1.7642,2.1884
567,181,2.3326,1.7813,2.2040
568,182,2.3343,1.7985,2.2165
569,183,2.3413,1.8144,2.2325
570,184,2.3365,1.8281,2.2461
571,185,2.3338,1.8434,2.2584
572,186,2.3453,1.8616,2.2788
573,187,2.3506,1.8770,2.2913
574,188,2.3557,1.8914,2.3047
575,189,2.3708,1.9090,2.3178
576,190,2.3802,1.9241,2.3274
577,191,2.3966,1.9393,2.3387
578,192,2.4047,1.9519,2.3454
579,193,2.4166,1.9649,2.3507
580,194,2.4405,1.9826,2.3594
581,195,2.4480,1.9948,2.3594
582,196,2.4557,2.0073,2.3595
583,197,2.4683,2.0231,2.3591
584,198,2.4733,2.0360,2.3576
585,199,2.4808,2.0523,2.3567
586,200,2.4754,2.0656,2.3528
587,201,2.4697,2.0778,2.3497
588,202,2.4767,2.0884,2.3510
589,203,2.4696,2.0905,2.3488
590,204,2.4651,2.0927,2.3458
591,205,2.4661,2.0969,2.3440
592,206,2.4645,2.0981,2.3423
593,207,2.4624,2.1011,2.3414
594,208,2.4539,2.1006,2.3404
595,209,2.4482,2.1004,2.3407
596,210,2.4519,2.1065,2.3436
597,211,2.4446,2.1159,2.3431
